"id","submitdate","lastpage","startlanguage","seed","UEQS1[SQ001]","UEQS1[SQ002]","UEQS1[SQ003]","UEQS1[SQ004]","UEQS1[SQ005]","UEQS1[SQ006]","UEQS1[SQ007]","UEQS1[SQ008]","PEGA[PE1GA]","PEGA[PE2GA]","PEGA[PE3GA]","PEGA[PE4GA]","EEGA[EEGA1]","EEGA[EEGA2]","EEGA[EEGA3]","EEGA[EEGA4]","SIGA[SIGA1]","SIGA[SIGA2]","SIGA[SIGA3]","HMGA[HMGA1]","HMGA[HMGA2]","HMGA[HMGA3]","FCGA[FCGA1]","FCGA[FCGA2]","FCGA[FCGA3]","FCGA[FCGA4]","BIGA[BIGA1]","BIGA[BIGA2]","BIGA[BIGA3]","UBGA[UBGA1]","UBGA[UBGA2]","UBGA[UBGA3]","aint[SQ001]","aint[SQ002]","aint[SQ003]","G03Q03","G03Q04","G03Q05"
"3","1980-01-01 00:00:00","10","de","3389965","5","6","6","6","4","4","7","6","Stimme ein wenig zu","Stimme nicht zu","Stimme ein wenig zu","Stimme nicht zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme nicht ganz zu","Stimme nicht zu","Stimme nicht zu","Weder noch","Stimme ein wenig zu","Weder noch","Stimme absolut zu","Stimme absolut zu","Stimme zu","Weder noch","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Weder noch","Weder noch","Weder noch","22","Weiblich","Student"
"5","1980-01-01 00:00:00","10","de","1402861864","7","6","6","5","6","6","6","6","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","23","Männlich","Student"
"6","1980-01-01 00:00:00","10","de","1825548535","6","7","5","5","5","6","5","6","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Weder noch","Weder noch","Weder noch","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme nicht ganz zu","Stimme nicht ganz zu","Stimme nicht ganz zu","23","Weiblich","Student"
"7","1980-01-01 00:00:00","10","de","872489562","1","7","4","1","1","1","1","1","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Weder noch","Weder noch","Weder noch","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme zu","Stimme zu","Weder noch","Stimme ein wenig zu","Weder noch","Weder noch","Weder noch","Stimme zu","Stimme zu","Stimme zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","50","Weiblich","Selbstständig"
"8","1980-01-01 00:00:00","10","de","749635792","6","5","5","3","2","3","3","4","Stimme zu","Weder noch","Stimme nicht ganz zu","Stimme nicht ganz zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme nicht ganz zu","Stimme nicht ganz zu","Weder noch","Stimme zu","Stimme zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme ein wenig zu","Stimme nicht ganz zu","Stimme nicht ganz zu","26","Weiblich","Student"
"9","1980-01-01 00:00:00","10","de","203181326","6","6","6","4","4","5","3","4","Stimme ein wenig zu","Stimme nicht ganz zu","Stimme zu","Weder noch","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Weder noch","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","Stimme ein wenig zu","Stimme zu","Stimme zu","23","Männlich","Berufstätig"
"12","1980-01-01 00:00:00","10","de","461732111","4","1","2","2","2","4","6","7","Stimme nicht zu","Stimme ein wenig zu","Stimme nicht zu","Weder noch","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme zu","Weder noch","Weder noch","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme nicht zu","Stimme zu","Stimme zu","Stimme zu","Stimme nicht ganz zu","Stimme ein wenig zu","Stimme ein wenig zu","Weder noch","Stimme zu","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme nicht zu","Stimme nicht ganz zu","48","Weiblich","Berufstätig"
"14","1980-01-01 00:00:00","10","de","1691771988","3","6","4","6","2","3","4","6","Stimme nicht zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme absolut zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme überhaupt nicht zu","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme zu","Stimme absolut zu","Weder noch","Stimme zu","Weder noch","Stimme zu","Stimme nicht ganz zu","Weder noch","Stimme zu","Weder noch","Stimme zu","Stimme nicht ganz zu","Stimme nicht zu","52","Weiblich","Berufstätig"
"15","1980-01-01 00:00:00","10","de","393991707","5","4","4","5","3","3","3","3","Stimme ein wenig zu","Stimme nicht zu","Weder noch","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","Weder noch","Weder noch","Stimme nicht ganz zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Weder noch","Stimme ein wenig zu","Stimme ein wenig zu","Weder noch","Stimme zu","Stimme absolut zu","Stimme absolut zu","Weder noch","Stimme ein wenig zu","Stimme zu","70","Männlich","Selbstständig"
"16","1980-01-01 00:00:00","10","de","1289482145","5","6","5","5","7","7","7","7","Stimme ein wenig zu","Weder noch","Stimme zu","Weder noch","Stimme absolut zu","Stimme zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Weder noch","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu",,"Weiblich","Student"
"17","1980-01-01 00:00:00","10","de","638192427","7","7","6","7","6","7","7","7","Stimme zu","Stimme zu","Weder noch","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Weder noch","Stimme zu","Stimme zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","58","Weiblich","Berufstätig"
"18","1980-01-01 00:00:00","10","de","230613741","7","6","4","6","4","5","5","5","Stimme zu","Weder noch","Stimme ein wenig zu","Stimme nicht ganz zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme zu","Weder noch","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","32","Männlich","Selbstständig"
"19","1980-01-01 00:00:00","10","de","1417457693","5","6","6","5","6","6","7","7","Stimme zu","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme nicht ganz zu","Stimme nicht ganz zu","Weder noch","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","20","Weiblich","Student"
"20","1980-01-01 00:00:00","10","de","1850382165","5","6","6","6","3","3","4","3","Stimme zu","Weder noch","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Weder noch","Weder noch","Stimme zu","Stimme absolut zu","Stimme zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme ein wenig zu","Stimme zu","Weder noch","Weder noch","Stimme ein wenig zu","Stimme ein wenig zu","47","Weiblich","Berufstätig"
"21","1980-01-01 00:00:00","10","de","1655618087","4","6","6","5","3","3","5","5","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Weder noch","Weder noch","Weder noch","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme zu","Stimme absolut zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Weder noch","Weder noch","Weder noch","Stimme nicht ganz zu","Stimme nicht ganz zu","Stimme nicht ganz zu","40","Männlich","Berufstätig"
"22","1980-01-01 00:00:00","10","de","420785000","6","2","6","7","4","4","6","6","Stimme zu","Stimme ein wenig zu","Stimme absolut zu","Weder noch","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme absolut zu","Stimme ein wenig zu","Weder noch","Stimme ein wenig zu","Weder noch","Stimme zu","Weder noch","Stimme absolut zu","Stimme absolut zu","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme zu","Stimme ein wenig zu","Stimme zu","24","Weiblich","Student"
